TF,Target
ERCC-00095,ANGPT2
ASH2L,MFAP4
LTN1,TRUB1
ERBB4,ZNF302
MID1,FAM46A
PHLDA1,KIAA1324L
PGM2,CAP2
ESCO2,CASD1
BNIP3,ERCC-00062
HAS2,BCL11A
RND3,TDP2
SLC38A9,TOM1L1
C1ORF112,CDK1
ZNF302,KDR
ASUN,DCUN1D4
AXL,BUB1B
GATA4,ARL4A
ERCC-00044,NUDT10
OXTR,SEMA6D
ELOVL2,TMEM64
NRP1,IFI16
WWP1,PLOD2
PIBF1,TDP2
NXT2,ERCC-00003
ACOX3,MCCC1
PRSS23,HIBCH
CYP26A1,BTBD10
PIK3R5,VPS54
DKK1,ZIC3
SLCO2A1,KIAA1804
APLNR,LGR5
LPGAT1,LGR5
C3ORF14,ARMC8
ARL4D,MPHOSPH9
ZNF670,COLEC12
FEZ1,EPHA4
RSPO3,C4ORF46
GTF2H2D,ERCC-00046
NUDT11,KIF18A
ASS1,WDFY1
ASNS,DKK1
NCAM1,COLEC12
CD200,ABCA1
HAS2,CAMK2D
PAM,ZNF302
MYCT1,CELF2
PLK4,TRDN
PALLD,SEMA5A
VPS54,SLC35A3
B3GNT2,ATL2
COBLL1,NANOG
DCAF6,LHX1
ZNF280B,TBX3
PELI2,PRPS2
BCL11A,TMEM64
GYPA,GPSM2
SKA3,TTK
PMP22,COCH
TFB2M,STK3
SEMA3E,NUDT10
ITGA6,ACTC1
OXR1,C1ORF112
FER,PROM1
SEMA3A,ERCC-00145
CCDC66,WNT5A
WDR48,PROM1
ARG2,HIBCH
C11ORF82,KIAA0528
STK3,PTPRZ1
ERCC-00111,MLF1IP
RGPD2,SNX14
ELOVL2,MALT1
MTMR6,CRYZL1
HEG1,CYP26A1
PMP22,TADA1
DKK4,SERHL2
PCDH7,OTUD6B
HIBCH,PRKRIR
ERCC-00002,CRHBP
ESRP1,BCAP29
MBOAT1,GLDC
PRIM1,BMP2
MFAP4,PRKRIR
FARSB,KIAA1467
ZNF521,CASD1
FZD5,COQ3
KLF10,NID1
TMEM64,PRMT6
HSD17B11,DNAJB14
TDP2,NFIB
ELOVL2,ENC1
CD200,PHLDA1
RGPD2,WDR48
KIAA1467,BLM
ZEB2,VPS54
TIPIN,BTBD10
PCDH7,NUDT11
ZFYVE16,LGR4
PMP22,ERCC-00131
FASTKD1,LECT1
PDLIM3,RGS5
UBE2D1,AXL
MELK,UGGT2
KIF4A,TMCC1
SLC39A8,SLCO2A1
NID1,SORL1
BCL11A,MALT1
PRMT6,TDP2
SEC24D,GATM
ST8SIA4,LTN1
AK4,PLXNA2
TBC1D23,RNF138
RNFT1,EOMES
TDRD7,AXL
BCL11A,ENC1
DUSP4,NDC80
ALG6,PAM
CLK1,CCDC81
ALG6,CEP55
TADA1,GDAP1
B3GNT5,MPHOSPH9
C4ORF46,PLOD2
BMP2,C1ORF112
TRIM36,IPO8
KLHL6,AKAP2
BAG3,PDGFRA
ERCC-00060,GPSM2
PRDM1,DUSP10
DERA,KIF18A
KLHL12,APOBEC3G
ALCAM,ABCA1
ACOX3,CA2
PLAU,ZNF516
INSIG2,KIAA1324L
FBXO5,CNTRL
CLGN,GATA6
PHLDA1,ANAPC4
PROM1,ATG4C
COL4A1,ESCO2
GDAP1,KIF4A
GCA,MYOCD
PMP22,TP53INP1
METTL18,ERCC-00046
TDP2,HLA-DQB1
FER,APLNR
HIBCH,TFB2M
NAP1L3,ERCC-00145
PLXNA2,ERCC-00076
ITFG1,VASH2
TOM1L1,FBN1
IFI16,SLCO2A1
WDR48,APLNR
C1ORF112,GLIPR2
MFAP4,TFB2M
MME,VAMP7
KIF15,ANXA3
SLC18A2,ATL2
CCDC66,KLHL28
PIK3R5,KAT7
KLHL12,ERCC-00060
BMP4,MMP16
MPHOSPH9,PDCD4
GDF3,NCAPG
HIBCH,TTC39B
PIP4K2A,RGS5
CYP1B1,ERCC-00113
ERCC-00111,PDCD4
YPEL5,C5ORF22
EFTUD1,CAP2
MFAP4,TTC39B
FASTKD5,ERCC-00076
ZIC3,SEMA3A
CCDC138,TSPAN12
ST3GAL6,WDR41
LIPG,FASTKD1
HIBCH,CHL1
C5ORF22,HAS2
HMMR,CCKBR
MFAP4,CHL1
RNF138,NXT2
ALCAM,PHLDA1
TSPAN12,ERCC-00060
CHL1,ZNF521
DKK4,STC1
TTC39B,EPHA4
HEG1,PRSS35
VAMP7,TTK
HTRA1,DLC1
LIFR,ARFGAP3
GCA,RAVER2
EPHA4,ARFGAP3
LUM,ERCC-00076
ERCC-00171,SPP1
HSF2,IFI16
CCDC138,DEPDC1B
FOS,KIF4A
FBXO3,ODC1
GLDC,HEG1
BCAP29,MYOCD
MLLT3,MYNN
DDX20,METTL18
DRAM2,SYNC
RFPL2,ZNF521
CLGN,PPIP5K2
FARSB,CYP1B1
CTSK,MORC3
RAVER2,MRE11A
PHLDA1,NFIB
ERCC-00130,PALLD
STAT1,TTK
MYCT1,AKAP2
CCDC82,HTRA1
RSPO3,ITFG1
FBXO28,ALCAM
GYPB,CEP70
LRRCC1,GDF3
COMMD10,ZNF516
CDC20,ZNF791
CER1,PPPDE1
FBXL5,BMPER
TSPAN12,DEPDC1B
PDGFRA,TRDN
FBXL5,KLHL12
HLA-DQB1,PLAU
ELL2,VASH2
ERCC-00003,PERP
USP44,TDP2
BCAP29,RAVER2
MOSPD1,KIAA0528
ERCC-00004,GLMN
TOM1L1,ERCC-00042
ZDHHC21,PPIP5K2
SYNC,RPE
KLHL6,OTUD6B
ZNF791,ERCC-00113
MLF1IP,IPO11
ERCC-00095,LRRC40
SERHL2,RRM2B
USP31,IFI16
TOM1L1,GRPR
EFNA5,ERCC-00002
GDF3,ELL2
DNA2,SEMA6D
CYP1B1,RNFT1
KLHL6,NUDT11
UTP15,ABCA1
MYOCD,GATA6
COL1A2,GLMN
ITGA6,RFPL2
FAM173B,RGPD2
SPPL2A,SEMA6D
AXL,MORC3
ERCC-00130,CALB1
PELI2,ID2
GPR83,SEMA3E
GLIPR2,LHX1
MPHOSPH9,C11ORF82
ZNF567,RRM2B
KIF23,PLOD2
OTX2,UBE2D1
PRIM1,NODAL
FBXL5,DRAM2
CDC20,VWA5A
C4ORF46,CD48
KAT7,DDAH1
LECT1,GNG11
NDFIP2,GATM
ABCA1,RSPO3
KIAA0528,ARHGAP28
NRP2,DCUN1D4
INSIG2,ANAPC4
SERPINE2,DERA
FAM135A,ERCC-00060
KLHL24,AMIGO2
SMN1,PCDH7
MRS2,ERCC8
TBPL1,RNF13
ALG6,EFNA5
RPE,TMCC1
ERCC-00095,RSPO3
DTL,KIF4A
UTP15,PHLDA1
CPE,HAND1
CCDC138,ARG2
ALG11,KBTBD2
FAM46A,ALCAM
TMEM64,GABPA
MRE11A,FBXO3
CAMK2D,ERCC-00042
SORL1,CD200
C11ORF82,MYCT1
RNF138,DNAJB14
FAM135A,TSPAN12
ECT2,OTX2
ZDHHC21,FLRT3
RGPD2,ZNF138
S1PR3,KIAA0528
CCDC81,PMAIP1
CLK1,DDX20
RALB,MALT1
DUSP11,DCAF6
MYCT1,OTUD6B
CAMK2D,GRPR
GCA,PLK4
HBP1,PENK
KDR,FAM173B
ANXA3,DRAM2
NID1,ZEB1
ACTC1,MID1
PERP,ERCC-00076
CCDC138,AXL
FAM135A,DEPDC1B
CDCA2,PLP1
MME,COL4A1
MLLT3,PRKRIR
FBXO3,BCAP29
IGDCC4,ERCC-00130
ZNF791,RNFT1
CNTRL,INSIG2
DCUN1D4,ELOVL2
NUDT11,CASD1
RND3,ZFYVE16
GABPA,ZFYVE16
HTRA1,AGL
APOBEC3G,NLGN4X
SLC19A2,TIPIN
CYP1B1,TMOD1
PRDM1,CENPQ
PIK3R5,COL5A2
CALB1,KIF23
RFPL2,MBOAT1
RNF13,ERCC-00004
FAM188A,ABCA1
MAN1A1,SPP1
RPL17-C18ORF32,GDF3
ERCC-00136,ALG11
FAM173B,PTGR1
TSPAN12,AXL
ATG4C,INSIG2
SYNC,ZNF670
GATA6,STK3
MLF1IP,GLDC
USP53,KLHL12
RRM2B,PRPS2
ECT2,ALPK2
IPO8,LRIG3
ERCC-00042,OTX2
FAM54B,ERCC-00046
BCAP29,PLK4
PLAA,RNF138
LGR4,MLLT3
CCDC66,BCAP29
HAPLN1,LPIN1
ERCC-00004,NUP35
GDAP1,WLS
EOMES,PTPRZ1
NRP2,CDK6
ERCC-00009,PLCB4
MRS2,RHAG
KLHL28,RHOBTB3
RFESD,DERA
C5ORF22,LGR4
KIAA1467,STK17B
CAP2,GABPA
LHX1,PIK3R5
HAND1,MLLT3
ELMOD2,REV3L
LGR5,EPHA4
CD200,MAP4K3
FASTKD3,HDHD2
ANKRD13C,DKK1
CNKSR3,ACTC1
ZNF280B,AK4
FEZ1,FAM46A
MMP16,DNA2
FAM188A,PHLDA1
AGL,CRYZL1
C4ORF46,CHEK2
COL1A2,NUP35
ANKRD6,RNF13
NFIB,CAP2
MTMR6,FAM135A
TMEM47,RGS5
ZEB2,COL5A2
FOS,TFPI
PIK3R5,MTERFD1
USP53,DRAM2
CLGN,KLHL24
ZNF302,GRPEL2
KIF23,CD48
GFM1,BMP2
ERCC-00042,ALPK2
GLDC,BMPER
ATG4C,ZEB2
GLDC,KLHL12
MLLT3,TTC39B
ZNF791,TMOD1
NUDT10,PLCB4
MRE11A,PPM1H
ALPK2,WDFY1
UBE2W,TIPIN
MLLT3,CHL1
CDK6,ERCC-00009
IGDCC4,ERCC-00025
PELI2,PLAA
SH3BGRL2,GYPB
DERA,CASD1
PDCD4,NXT2
NFIB,LYPLAL1
TTC39B,CELF2
NRP1,DCUN1D4
CNTRL,NODAL
FEZ1,FASTKD3
RGS5,CCDC81
ERCC-00003,FZD5
KIAA1324L,SERHL2
TMCC1,MOSPD1
MRE11A,NTS
HLA-DQB1,EPCAM
LGR4,PHC1
MANEA,ZNF516
TP53INP1,NRP1
TNFAIP8,PIP4K2A
HSF2,ERCC-00136
CALB1,ESRP1
PGM2,CRHBP
HEG1,HAPLN1
TTK,S1PR3
LEPREL1,HDHD2
MRS2,ASS1
STK38L,SPP1
ERCC-00025,ERCC-00043
FAM135A,AXL
ORC5,SEMA3E
PPIP5K2,RNF13
ZEB2,MTERFD1
ERCC-00130,MAGI3
BLM,SEMA5A
HIBCH,SENP7
ERCC-00108,LGR4
KIF4A,PAM
KIF4A,CEP55
MFAP4,SENP7
KDR,FLRT3
ARL4A,DDAH1
PRTG,C12ORF23
ASH2L,LRIG3
ZNF302,COLEC12
TMCC1,KDELR3
ENC1,PLXNA2
KAL1,CYP26A1
PTGR1,ANKRD13C
WDFY1,ERCC-00002
SIRT1,KIAA1324L
PLK1,BMP2
GLMN,MELK
C1ORF112,MYOCD
TDP2,ERCC-00112
LGR4,WWP1
COCH,ST8SIA4
WDR41,C11ORF82
ST6GALNAC3,SERHL2
CLGN,ST3GAL6
SYNC,RMI1
ERCC-00025,CALB1
ESRP1,DECR1
ZNF791,IGDCC4
DTL,TFPI
ERCC-00136,CDC20
PDLIM3,ALG6
FASTKD1,SFRP2
HSF2,PARPBP
MTERFD1,KIAA1324L
GABPA,SFRP1
BTBD10,OXTR
TRIM36,UTP15
PRTG,BNIP3
CDC23,ZUFSP
MYOCD,KLHL24
CHEK2,COL1A2
C1ORF112,RAVER2
BMP4,PLP1
KIF15,FBXO3
ZNF280B,KRCC1
PENK,ERCC-00046
ALG6,NRP2
KIF23,CHEK2
FBXO11,SERHL2
ALPK2,GYPE
DYRK2,LIFR
KDELR3,ERCC-00113
TFB2M,CASD1
ST3GAL6,ODC1
LRIG3,ZEB1
TDP2,COQ3
KIAA1324L,STC1
GATA6,KIF18A
CD9,ASH2L
TOM1L1,ERCC-00074
NTS,PALLD
OXTR,DNAJB9
FAM173B,STAT1
ERCC-00130,FASTKD5
SKA3,AMIGO2
WWP1,EPHA4
USP44,ZFYVE16
SFRP2,BUB1B
CLDN11,DUSP11
PLCB4,TNFAIP8
DOCK7,NID1
PDCD4,DNAJB14
EFNA5,ATG4C
PCDH7,ALCAM
TBC1D23,KLF10
MELK,ERCC8
ZUFSP,TDP2
RRM2B,ID2
SH3BGRL2,CPE
KRCC1,CDK1
ITFG1,DUSP11
MID1,SEC24D
KAT7,SNX14
OXTR,DERA
USP31,PARPBP
CYP26A1,BCL11A
VIM,PIP4K2A
BAG3,SEMA3A
ST8SIA1,ERCC-00062
NCAPG,FAM89A
STK3,KLF10
LIPG,MPHOSPH9
TTC39B,FASTKD3
B4GALT4,CDK6
MTMR6,TRIM36
REV3L,MALT1
RNFT1,ELMOD2
CNTRL,NUDT10
CNKSR3,RFPL2
TADA1,RNF138
TBC1D23,ARMCX3
KAT7,WDR48
HTRA1,GLRX
ERCC-00002,NDC80
MTERF,ELOVL2
KAL1,PRSS35
LTN1,TBC1D23
ALG11,SFRP1
STK3,ARMCX3
TBX3,PDLIM3
CD48,NID1
COL5A2,PROM1
HSD17B11,MID1
NTS,CALB1
FAM173B,SERPINE2
ARL4D,CNTRL
MRE11A,MCCC1
CELF2,NLGN4X
DLC1,ERCC-00042
ST6GALNAC3,STC1
GFM1,NODAL
PDLIM3,PRIM1
TNFRSF11B,MYNN
PNPLA8,SLC6A15
KIAA1804,CRYZL1
FBN1,ANAPC4
TRIM36,ELOVL2
CYP26A1,CAMK2D
RHAG,TMEM64
PHC1,ZDHHC21
GYPB,ANXA3
NXT2,RNF13
AGL,PLK1
PHLDA1,ERCC-00112
MYOCD,ST3GAL6
DLC1,GRPR
CRYZL1,ERCC-00042
ENC1,OTX2
MTERF,FOS
DNAJB9,ERCC-00044
ANKRD13C,TRUB1
RGS5,DDX20
CRYZL1,GRPR
GDAP1,COCH
SIRT1,ANAPC4
KDELR3,RNFT1
PRICKLE1,ZNF791
C11ORF82,TBX3
KIF4A,EFNA5
GRPR,MELK
GATM,CCNA2
ITGA6,TMEM38B
GRPEL2,GCA
RMI1,PCDH7
ELL2,C11ORF82
FBXO11,STC1
ERCC-00022,WDFY1
KLHL28,LIFR
ARHGAP28,DYRK2
KIF15,PPM1H
HAND1,STK3
ERCC-00009,B3GNT2
ERCC-00092,NLGN4X
MELK,RHAG
RPE,PAM
RPE,CEP55
MTERFD1,ANAPC4
ANXA3,WDR35
SEMA6D,PROM1
RNFT1,WNT5A
GDAP1,ERCC-00131
USP31,DCUN1D4
KIF15,NTS
MRS2,FOS
PHLDA1,COQ3
GTF2B,ZDHHC21
PARPBP,PRDM1
BMPER,DERA
PRSS35,ANKMY2
DUSP10,ARHGAP29
FOS,COCH
RHAG,ENC1
LGR5,BAG3
ST3GAL6,BCAP29
VAMP7,AMIGO2
TBX3,BMP4
PLK1,NODAL
FOS,TADA1
C3ORF58,CPE
MMP16,KIAA1467
GNG11,S1PR3
FAM188A,MAP4K3
PRICKLE1,VWA5A
GNG11,OXR1
COL5A2,APLNR
MAGI3,RPL17-C18ORF32
WLS,PROM1
GLDC,NDFIP2
HDHD2,TNFAIP8
EPCAM,FAM117B
TP53INP1,DKK4
PALLD,PENK
SLCO2A1,HAND1
NLGN4X,ASNS
ROR2,ZIC3
KLHL24,PRMT6
ELOVL2,GTF2H2D
STAT1,AMIGO2
GTF2H2D,SYNC
CDCA2,SLC18A2
LEPREL1,NIPSNAP3A
FOS,ERCC-00131
ODC1,HDHD2
ASS1,GATA6
MORC3,ECT2
MRE11A,CA2
MYOCD,B3GNT5
OTX2,ERCC-00004
KDELR3,TMOD1
NUP35,YEATS4
DDX20,TMEM47
FAM69A,WLS
ARHGAP29,WLS
AK4,HTRA1
ST8SIA4,ERCC-00062
PMAIP1,SEMA5A
MELK,ASS1
KLHL6,ALCAM
GPR83,NCAM1
ANGPT2,CRYZL1
PELI2,RGPD2
SEC24D,ERCC-00096
RRM2B,PLAA
LGR5,FAM46A
HBP1,MID1
TNFRSF11B,PRKRIR
TP53INP1,CLDN11
RND3,DOCK7
HLA-DQB1,CD48
GABPA,DOCK7
TBX3,COL1A2
NFIB,FAM54B
SMN1,MTMR2
KLF10,FBN1
ERCC-00136,FEZ1
ELOVL2,FAM188A
BCL11A,GTF2H2D
ERCC-00130,ZBTB11
FBXO3,CLK1
KRCC1,ZNF268
ERCC-00044,ANKMY2
SEMA6D,APLNR
FZD5,ARHGAP29
BTBD10,NCAPG
ERCC-00022,GYPE
GFM1,NUDT10
FBXO3,DECR1
INSIG2,ERCC-00112
NID1,UBE2D1
RNFT1,KLHL28
ERCC-00060,EFNA5
EPCAM,CSTF1
APLNR,KIAA0528
DKK1,PHC1
ARL4A,SNX14
PHC1,WDR35
AMIGO2,LGR4
ECT2,CCDC66
SLC19A2,PGM2
LPIN1,MALT1
ZNF280B,GATM
NDC80,CRHBP
RSPO3,ERCC-00145
CDK1,TNFAIP8
ST6GALNAC3,MTERF
DUSP4,ALG11
GTF2B,ASNS
PTPRZ1,RGS5
SPP1,ATL2
COQ3,ZNF516
RGS5,NXT2
DTL,COCH
ASS1,PPIP5K2
RAD51AP1,CENPQ
LTN1,KAL1
EXO1,CDK6
DNAJB14,HLA-DRB1
LGR5,FASTKD3
ERCC-00130,COL5A1
WLS,APLNR
ARL4A,WDR48
BCL11A,FAM188A
DTL,TADA1
ERCC-00076,WLS
RGPD2,ANXA3
DNA2,DNAJB9
KLF10,ROR2
PRDM1,SIRT1
DDAH1,RALB
SPPL2A,DNAJB9
PIK3R5,HSD17B11
CCDC66,DECR1
PRSS35,PCDH7
MOSPD1,TBX3
WDFY1,ATG4C
CAP2,CDCA2
ZNF791,MANEA
SFRP2,MORC3
ERCC-00130,ERCC-00095
FAM117B,TBC1D23
PIBF1,PDGFRA
KIAA1467,KDR
CHEK2,CNKSR3
PRPS2,SPPL2A
FBXO11,MTERF
MYCT1,ALCAM
VPS54,ERCC-00130
NTS,MAGI3
IFI16,C1ORF112
KLHL4,ST8SIA1
DTL,ERCC-00131
MMP16,CYP1B1
INSIG2,COQ3
CCDC81,ZNF516
CSTF1,IPO11
PIBF1,ASUN
POLR3G,SEMA3A
SPPL2A,DERA
METTL18,SYNC
TTC14,HMMR
DKK1,WWP1
TNFRSF11B,TFB2M
GPC3,LECT1
ERCC-00009,VPS54
ERCC-00042,CCDC66
RNF138,MID1
TRDN,ANKMY2
TNFRSF11B,TTC39B
PELI2,PTGR1
KIF15,MCCC1
PLK1,NUDT10
KIAA1804,PLK1
TNFRSF11B,CHL1
GATA6,CASD1
APOBEC3G,DNA2
FBN1,MAN1A1
DNAJB14,ITGA6
COL1A2,SLC38A9
OXTR,LHX1
NANOG,S1PR3
CCDC82,CRYZL1
ARMC8,MRS2
WWP1,BAG3
ARMCX3,LGR4
UBE2W,PGM2
ZEB2,HSD17B11
NID1,GABRB2
RLF,KIAA0528
KAL1,HAPLN1
DTL,TP53INP1
ABCA1,SLC39A8
FBXL5,GDAP1
ROR2,LRRC40
MAP4K3,SH3BGRL
MCC,ANGPT2
CALB1,GRPEL2
ASNS,TBC1D23
KIF4A,NRP2
LGALSL,DTL
NUP35,DKK1
S1PR3,TBX3
DKK1,ANKRD13C
ERBB4,SIRT1
DNAJB14,VIM
HLA-DQB1,HBP1
STC1,TTK
B4GALT4,GPC3
TP53INP1,IL6ST
SLC35A3,HMMR
PRMT6,PDGFRA
KBTBD2,MRS2
CDC20,C4ORF46
NDFIP2,ERCC-00096
NTS,FASTKD5
TBC1D23,CDH11
GLMN,HIBCH
QPCT,NIPSNAP3A
PRMT6,ASUN
HLA-DQB1,MME
WWP1,FAM46A
STK3,CDH11
ATL2,FAM117B
KIT,EFTUD1
ERCC-00131,GYPA
BMP4,SLC18A2
ERCC-00046,CD9
GTF2B,TSPAN12
ERCC-00096,GATM
MCCC1,C1ORF112
C4ORF46,CELF2
FEZ1,ERBB4
ANXA3,GDAP1
ARHGAP28,SH3BGRL2
LYPLAL1,ERCC-00062
ASNS,PRSS35
GRPEL2,C3ORF14
DUSP4,CDC20
KLHL24,GABPA
GRPEL2,WDR41
TP53INP1,TFB2M
SYNC,RLF
HAS2,PLCB4
ORC5,NCAM1
CSTF1,GLDC
SLC39A8,SPPL2A
CA2,ARHGAP29
C3ORF58,TRUB1
TMEM64,SLC6A15
LRRC40,USP31
GYPA,GCA
TBPL1,ALPK2
CD200,TFPI
PRSS35,FBXL5
KIF15,CA2
MELK,FOS
CALB1,COLEC12
CPE,FAM89A
CHEK2,ARG2
TRDN,PCDH7
PIP4K2A,KIAA1467
ANGPT2,PLK1
CENPQ,RHOBTB3
WWP1,FASTKD3
DNAJB9,EOMES
MRS2,PLOD2
LRIG3,APOBEC3G
FEZ1,SEC24D
GPSM2,ERCC-00092
USP44,DOCK7
TMOD1,ECT2
KLHL28,PDLIM3
CNKSR3,TMEM38B
C12ORF23,HAS2
C11ORF82,AK4
CDCA2,SKA3
PLK2,HMMR
CDCA2,TIPIN
ATL2,CSTF1
SKA3,PRMT6
ERCC-00044,QPCT
FLRT3,CD9
CD9,ITGA5
LRIG3,UBE2D1
ASS1,KLHL24
GYPB,FBXO3
SEC24D,KIAA1804
SEMA3E,ZUFSP
CLGN,FBXO11
RAD51AP1,BUB1B
PLAA,SERHL2
FAM117B,KAL1
ERCC-00025,ZBTB11
KIAA0528,GDF3
BMP4,COBLL1
LTN1,TIPIN
ANKRD6,OTX2
DKK4,SH3BGRL2
DCAF6,LTN1
ERCC-00095,STK3
ZEB1,WLS
USP53,GDAP1
MOSPD1,PERP
APLNR,MYCT1
LPGAT1,MYCT1
KDR,SPP1
VWA5A,ATL2
ARL4A,ZNF138
RPE,EOMES
ERCC-00060,NRP2
PDLIM3,CYP1B1
CAP2,SLC6A15
ERCC-00060,GCA
HAPLN1,NRP1
CDK1,TDP2
FBXO3,MCC
DEPDC1B,ERCC-00044
ERCC-00044,FBXL5
TBC1D23,MTERF
SFRP1,EFTUD1
PTGR1,CER1
ALG6,WNT5A
PELI2,STAT1
PRKRIR,MOSPD1
COL5A1,RALB
MAN1A1,BMP2
KIF18A,RGPD2
FAM54B,SYNC
MAP4K3,ESCO2
ALCAM,TFPI
RRM2B,RGPD2
NDFIP2,CTSK
ERCC-00130,RND3
ERCC-00044,GPR83
TBX3,TSPAN12
TOM1L1,LGR5
GTF2H2D,KBTBD2
ERCC-00025,ERCC-00095
ANKRD6,ALPK2
KRCC1,MYOCD
TADA1,ARMCX3
KIF23,CELF2
TBX3,DEPDC1B
TTC39B,ERBB4
ARG2,ERCC-00002
PNPLA8,GYPA
C4ORF46,FASTKD3
DNAJB14,STK17B
ASNS,KAL1
CDC20,ITFG1
PRKRIR,KDELR3
PPIP5K2,OTX2
GPSM2,SORL1
ITFG1,UGGT2
ERCC-00046,TTC14
ZNF791,NANOG
CBR1,ZNF567
HTRA1,CLGN
IGDCC4,ID2
PIP4K2A,CYP1B1
ASS1,ST3GAL6
C4ORF46,AKAP2
ERCC-00044,LRRCC1
ACOX3,ZNF516
GRPEL2,ARL4D
ARL4A,CEP70
DNA2,LHX1
COL4A1,LPIN1
KRCC1,RAVER2
ENC1,HTRA1
EXO1,GPC3
NTS,ZBTB11
SPPL2A,LHX1
DECR1,CRHBP
TRDN,FBXL5
ERCC-00111,IPO8
PLAA,STC1
VAMP7,PRMT6
ALPK2,GATA6
ST3GAL6,CLK1
ERCC-00003,ERCC-00113
RMI1,MTMR2
TNFAIP8,MBOAT1
MYOCD,FBXO11
LGR4,ACOX3
RLF,MYCT1
GYPB,PPM1H
KDELR3,MANEA
ERCC-00171,B3GNT2
LTN1,FBXO5
MLLT3,LPGAT1
ST3GAL6,DECR1
MME,B3GNT5
CELF2,DNA2
C11ORF82,KRCC1
CAMK2D,LGR5
DKK4,REV3L
PALLD,MID1
COCH,SLC19A2
PPIP5K2,ALPK2
MCC,LRRC40
BLM,PENK
GNAI1,GYPB
GYPB,NTS
CLDN11,ERCC-00111
SYNC,ABCA1
NTS,COL5A1
LIFR,IPO11
HIBCH,PALLD
FBXO5,ZDHHC21
STAT1,PRMT6
ESRP1,FAM173B
EPHA4,IPO11
GATA4,SERHL2
MFAP4,PALLD
PRPS2,PDE3B
HIBCH,ERCC-00043
SKA3,SLC46A3
HAND1,CASD1
RRM2B,PTGR1
MOSPD1,AK4
WDR35,RPL17-C18ORF32
MTERFD1,ERCC-00112
TNFRSF11B,SENP7
RAVER2,DUSP10
CER1,MPHOSPH9
FLRT3,TTC14
ELL2,UGGT2
GABRB2,B3GNT2
APOBEC3G,KIAA1467
KLF10,ERCC-00074
AGL,CENPC1
NTS,ERCC-00095
TDRD7,TTC14
LIPG,CNTRL
NDFIP2,KIAA1804
AGL,PELI2
UTP15,TFPI
NRP2,ACTC1
KIAA1467,FAM89A
KIT,PLXNA2
METTL18,KBTBD2
GDAP1,ST8SIA4
C3ORF14,MMP16
SLC38A9,C1ORF112
ACTC1,CCDC82
ALPK2,PPIP5K2
ERCC-00092,DNA2
PDE3B,ASNS
DUSP4,FEZ1
RGPD2,FBXO3
SYNC,PHLDA1
MRE11A,PMAIP1
TTC14,STK38L
HDHD2,CBR1
C12ORF23,LGR4
TP53INP1,POLR3G
BMP4,SKA3
MTMR6,ERCC-00136
ERCC-00025,FASTKD1
ABCA1,KIF18A
ERBB4,GPSM2
DRAM2,MTMR2
HIBCH,CALB1
HPRT1,ZIC3
PLK4,GYPB
CCDC82,FAM135A
RGPD2,DCAF6
MFAP4,CALB1
RNF13,FREM1
MTERFD1,COQ3
ERCC-00095,KIF18A
ID2,PRDM1
TBX3,AXL
TMEM47,KIAA1467
ZNF138,ASNS
KIF23,FASTKD3
FAM89A,MTMR6
ERCC-00009,MTERFD1
PENK,SYNC
FOS,ST8SIA4
KLHL12,CD9
GLIPR2,LTN1
YPEL5,MBOAT1
PLAU,CER1
VPS54,TBPL1
CD200,COCH
ARMC8,PIP4K2A
S1PR3,AK4
NXT2,OTX2
CD9,HPRT1
KIF23,AKAP2
PARPBP,PMP22
ANKRD13C,TBC1D23
GYPA,C3ORF14
MOSPD1,FZD5
DOCK7,FBN1
KRCC1,PLK4
CD200,TADA1
CENPQ,LIFR
MAN1A1,NODAL
MRS2,CHEK2
GYPA,WDR41
SLC6A15,ALG11
RND3,SEMA3A
SH3BGRL2,FAM69A
ANKMY2,S1PR3
ERCC-00002,ALG11
GATA4,STC1
MELK,PLOD2
GPC3,SFRP2
RAD51AP1,MORC3
CBR1,ST8SIA1
MTMR6,PARPBP
SNX14,BLM
MBOAT1,BMPER
SLC35A3,STK38L
LIFR,GLDC
IGDCC4,PLAA
MBOAT1,KLHL12
SKA3,NAP1L3
TP53INP1,SENP7
CD200,ERCC-00131
EPHA4,GLDC
PIBF1,SEMA3A
ERCC-00112,ESRP1
RFPL2,SH3BGRL
ESRP1,CCNE2
FAM188A,TFPI
DYRK2,APOBEC3G
REV3L,FAM188A
GNAI1,CPE
PRSS35,MTMR2
RNF13,TNFRSF11B
CD48,FBN1
LGR5,ERBB4
APOBEC3G,CYP1B1
PLAA,MTERF
SEC24D,DUSP4
UGGT2,ZDHHC21
NXT2,ALPK2
SFRP1,PLXNA2
ZEB2,MOSPD1
COL4A1,GTF2B
HAPLN1,DKK4
CCKBR,METTL18
ERBB4,TMCC1
ERCC-00171,VPS54
MOSPD1,KRCC1
GPSM2,ZEB1
ERCC-00003,TMOD1
FBXO5,WDR35
COMMD10,CER1
GYPB,MCCC1
SMN1,USP44
PTGR1,VASH2
KAT7,ANXA3
GNAI1,MRS2
MBOAT1,DRAM2
ASH2L,CCNA2
PPM1H,RNF13
ERCC-00060,C3ORF14
GRPEL2,ODC1
ERCC-00060,WDR41
CD200,TP53INP1
RHAG,GTF2H2D
CCNE2,RNF13
FLRT3,TNFRSF11B
TNFRSF11B,PHC1
S1PR3,FZD5
COQ3,ANKRD13C
FAM89A,KIF15
ZNF521,ERCC-00111
MLF1IP,HEG1
